カテゴリ,項目,データ・情報,情報源,年度,備考・詳細
市場規模,日本企業研修市場全体,"2024年: 228億8,757万米ドル、2033年予測: 425億7,596万米ドル、CAGR 7.14%",IMARC Group,2024-2033,デジタル・AI関連研修需要が高まっている
市場規模,生成AI市場（日本）,"2024年: 1,016億円、2028年予測: 8,028億円、CAGR 84.4%",IDC Japan,2024-2028,"初めて1,000億円の大台を超え、急成長予測"
市場規模,生成AI市場（日本・JEITA予測）,"2030年: 2,110億ドル（2023年の約20倍）",JEITA,2023-2030,他調査でもCAGR 40%超の予測あり
市場規模,AI市場全体（日本）,"2024年度: 1兆4,735億円、2028年度予測: 2兆7,780億円",富士キメラ総研,2024-2028,年平均成長率29.1%で拡大予測
市場規模,eラーニング市場,"2025年度予測: 3,849億円（前年度比1.0%増）",矢野経済研究所,2025,人的資本情報開示義務化が追い風
成長予測,情報通信業のAI導入率,35.1% - 最も高い導入率,ICR調査,2024,デジタル親和性が高く、ソフトウェア開発支援等で活用
成長予測,金融・保険業のAI導入率,29.0% - 高い導入率,ICR調査,2024,リスク評価、不正検知、コンプライアンスチェック等で活用
成長予測,製造業のAI導入率,22.9% - 中程度だが高いポテンシャル,ICR調査,2024,設計・開発、生産最適化、品質管理等で今後急成長見込み
成長予測,小売・流通業のAI導入率,13.4% - 比較的低いが成長余地大,ICR調査,2024,需要予測、在庫管理、パーソナライゼーション等で拡大予測
成長予測,製造業生成AI市場,"2023年: 3億1,620万米ドル、2033年予測: 105億4,010万米ドル、CAGR 42%",Market.us,2023-2033,製造業特化の生成AI市場は急拡大予測
競合分析,株式会社AVILEN,"eラーニング中心、レベル別研修、11,000円/人〜、700社以上実績",AVILEN公式,2024,東証グロース上場、体系的プログラム、経産省ガイドライン準拠
競合分析,株式会社キカガク,"生成AI実践コース77,000円、1,000社15万人実績",キカガク公式,2024,高いカスタマイズ性、無料入門コンテンツあり
競合分析,DMM生成AI CAMP,"職種別コース198,000円〜、120社1,000名実績",DMM公式,2024,DMMブランド、助成金活用推奨
競合分析,トレノケート,"eラーニング3,300円〜、専門コース143,000円、1,500社顧客",トレノケート公式,2024,グローバル実績、広範なポートフォリオ
競合分析,NOB DATA,カスタム研修200万円〜、ChatGPT特化,NOB DATA公式,2024,データサイエンス専門性、高度カスタマイズ
競合分析,スキルアップAI,"対話型生成AI講座27,500円、GUGA認定資格対策",スキルアップAI公式,2024,資格取得支援、実践的ワーク重視
競合分析,株式会社インソース,公開講座・講師派遣、多様な提供形態,インソース公式,2024,国内大手、業界特化コンテンツ
競合分析,ユースフル,Microsoft連携特化、月額980円/ID〜,ユースフル公式,2024,実務フロー改善、高い費用対効果
競合分析,株式会社LIG,カスタム研修・コンサル、要問合せ,LIG公式,2024,制作・開発力連携、柔軟カスタマイズ
競合分析,株式会社アイテック,40年IT研修実績、個別見積もり,アイテック公式,2024,老舗IT研修、体系的コース設計
助成金・支援制度,人材開発支援助成金（人材育成支援コース）,中小企業: 経費75%+賃金960円/時間、大企業: 経費45%+賃金480円/時間,厚生労働省,2024,職務関連知識・技能習得訓練が対象、計画届提出が必要
